Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,45,4.86,0.685,162,1458,1151,13137,6259,4379,1776,104,172,0.983,12,1,,0,-1
Atlanta Braves,45,4.97,0.686,162,1458,1087,12972,6031,4324,1608,99,146,0.984,57,5,,-1,2
Baltimore Orioles,46,5.55,0.678,162,1458,1102,12771,5966,4257,1607,102,156,0.983,-4,0,,0,-8
Boston Red Sox,53,5.09,0.679,162,1458,1056,12972,6052,4324,1662,66,174,0.989,0,0,,-1,8
Chicago Cubs,46,5.15,0.698,162,1458,1115,12951,5903,4317,1480,106,122,0.982,5,0,,0,-8
Chicago White Sox,37,4.9,0.693,162,1458,1096,13041,6092,4347,1655,90,145,0.985,-30,-3,,-3,-10
Cincinnati Reds,52,4.94,0.68,162,1458,1119,13011,6064,4337,1599,128,139,0.979,-31,-3,,-1,-10
Cleveland Indians,45,4.83,0.675,162,1458,1208,12810,6057,4270,1669,118,165,0.981,-22,-2,,-4,8
Colorado Rockies,50,5.01,0.683,162,1458,1158,13026,6249,4342,1816,91,190,0.985,22,2,,0,5
Detroit Tigers,38,4.17,0.701,162,1458,1124,13032,6230,4344,1780,106,162,0.983,57,5,,1,-6
Florida Marlins,40,4.77,0.683,162,1458,995,12900,6014,4300,1588,126,166,0.979,-5,0,,-1,-14
Houston Astros,38,4.44,0.701,162,1458,1042,13218,6239,4406,1753,80,164,0.987,68,6,,1,0
Kansas City Royals,53,5.99,0.676,162,1458,1165,12837,6035,4279,1658,98,189,0.984,-6,-1,,0,-4
Los Angeles Angels of Anaheim,40,4.52,0.69,162,1458,1097,13074,6027,4358,1545,124,154,0.979,9,1,,0,-3
Los Angeles Dodgers,50,4.64,0.681,162,1458,1049,13143,6292,4381,1796,115,174,0.982,-27,-3,,-3,-10
Milwaukee Brewers,49,5.14,0.685,162,1458,1179,12831,5976,4277,1582,117,126,0.98,-18,-2,,0,-2
Minnesota Twins,38,4.22,0.685,162,1458,1174,12954,6049,4318,1647,84,135,0.986,-2,0,,0,6
New York Mets,49,4.51,0.701,162,1458,1173,13152,6126,4384,1638,104,131,0.983,42,4,,1,6
New York Yankees,49,4.73,0.696,162,1458,1023,12993,6028,4331,1593,104,145,0.983,-24,-2,,-1,4
Oakland Athletics,39,4.49,0.688,162,1458,1191,13065,6065,4355,1626,84,173,0.986,-11,-1,,0,0
Philadelphia Phillies,44,5.01,0.681,162,1458,1096,13143,6170,4381,1685,104,153,0.983,-13,-1,,-1,-3
Pittsburgh Pirates,41,4.92,0.674,162,1458,1147,12915,6199,4305,1790,104,168,0.983,-37,-3,,-3,3
San Diego Padres,43,4.19,0.71,162,1458,1081,13173,6079,4391,1596,92,138,0.985,30,3,,1,3
Seattle Mariners,49,4.89,0.69,162,1458,1171,13020,6058,4340,1630,88,150,0.985,17,2,,1,2
San Francisco Giants,44,4.91,0.7,161,1449,1032,12867,5961,4289,1581,91,132,0.985,22,2,,0,11
St. Louis Cardinals,41,4.73,0.697,161,1449,1016,12867,6169,4289,1782,98,170,0.984,33,3,,5,12
Tampa Bay Devil Rays,49,5.28,0.671,162,1458,1125,12783,5971,4261,1594,116,156,0.981,-55,-5,,-3,-9
Texas Rangers,51,4.84,0.678,162,1458,1199,12882,6140,4294,1748,98,174,0.984,-33,-3,,0,8
Toronto Blue Jays,42,4.65,0.693,162,1458,1097,12855,6096,4285,1712,99,157,0.984,32,3,,1,3
Washington Nationals,57,5.38,0.689,162,1458,1118,12927,5941,4309,1501,131,123,0.978,-37,-3,,-4,-2
League Average,41,4.86,0.687,162,1457,1113,12977,6085,4326,1657,102,155,0.983,2,0,,0,0
